"Id","Date","Time","Value","Activity","d"
"2.022484408E9","4/1/2016"," 7:54:10 AM","96.0","Normal","6"
"2.022484408E9","4/1/2016"," 7:54:25 AM","101.0","Exercise","01"
"2.022484408E9","4/1/2016"," 7:54:45 AM","102.0","Exercise","02"
"2.022484408E9","4/1/2016"," 7:55:10 AM","112.0","Exercise","12"
"2.022484408E9","4/1/2016"," 7:55:35 AM","110.0","Exercise","10"
"2.022484408E9","4/1/2016"," 7:55:50 AM","111.0","Exercise","11"
"2.022484408E9","4/1/2016"," 7:56:05 AM","98.0","Normal","8"
"2.022484408E9","4/1/2016"," 7:56:25 AM","90.0","Normal","0"
"2.022484408E9","4/1/2016"," 7:56:40 AM","88.0","Normal","8"
"2.022484408E9","4/1/2016"," 7:57:10 AM","90.0","Normal","0"
"2.022484408E9","4/1/2016"," 7:57:55 AM","91.0","Normal","1"
"2.022484408E9","4/1/2016"," 7:58:10 AM","96.0","Normal","6"
"2.022484408E9","4/1/2016"," 7:58:35 AM","99.0","Normal","9"
"2.022484408E9","4/1/2016"," 7:59:00 AM","106.0","Exercise","06"
"2.022484408E9","4/1/2016"," 7:59:20 AM","108.0","Exercise","08"
"2.022484408E9","4/1/2016"," 7:59:40 AM","109.0","Exercise","09"
"2.022484408E9","4/1/2016"," 8:00:20 AM","107.0","Exercise","07"
"2.022484408E9","4/1/2016"," 8:00:45 AM","105.0","Exercise","05"
"2.022484408E9","4/1/2016"," 8:01:15 AM","105.0","Exercise","05"
"2.022484408E9","4/1/2016"," 8:01:50 AM","107.0","Exercise","07"
"2.022484408E9","4/1/2016"," 8:02:05 AM","109.0","Exercise","09"
"2.022484408E9","4/1/2016"," 8:02:35 AM","106.0","Exercise","06"
"2.022484408E9","4/1/2016"," 8:02:50 AM","90.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:03:15 AM","84.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:03:30 AM","81.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:03:55 AM","84.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:04:25 AM","84.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:05:00 AM","86.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:05:30 AM","87.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:06:10 AM","86.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:06:35 AM","91.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:06:50 AM","95.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:07:25 AM","92.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:07:40 AM","89.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:08:00 AM","74.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:08:15 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:08:35 AM","61.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:08:50 AM","57.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:09:25 AM","71.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:10:10 AM","67.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:10:40 AM","59.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:11:15 AM","60.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:11:35 AM","54.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:12:10 AM","53.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:12:40 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:13:15 AM","57.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:13:50 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:14:20 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:14:55 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:15:25 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:15:45 AM","55.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:16:15 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:16:40 AM","57.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:17:05 AM","57.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:17:40 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:18:10 AM","59.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:18:55 AM","59.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:19:35 AM","61.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:19:55 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:20:30 AM","60.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:21:00 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:21:30 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:22:00 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:22:20 AM","62.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:22:55 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:23:35 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:24:00 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:24:20 AM","61.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:24:55 AM","61.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:25:10 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:25:30 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:25:50 AM","60.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:26:20 AM","57.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:26:55 AM","60.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:27:20 AM","66.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:27:35 AM","58.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:27:55 AM","55.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:28:20 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:29:05 AM","56.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:29:30 AM","59.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:29:45 AM","67.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:30:00 AM","75.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:30:25 AM","71.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:30:40 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:31:10 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:31:40 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:32:00 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:32:25 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:32:55 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:33:30 AM","70.0","Normal","0"
"2.022484408E9","4/1/2016"," 8:33:50 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:34:20 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:35:05 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:35:40 AM","69.0","Normal","9"
"2.022484408E9","4/1/2016"," 8:36:05 AM","67.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:36:40 AM","67.0","Normal","7"
"2.022484408E9","4/1/2016"," 8:37:20 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:37:40 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:38:10 AM","62.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:38:50 AM","66.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:39:25 AM","64.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:40:00 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:40:40 AM","63.0","Normal","3"
"2.022484408E9","4/1/2016"," 8:41:10 AM","65.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:41:40 AM","74.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:42:10 AM","76.0","Normal","6"
"2.022484408E9","4/1/2016"," 8:42:50 AM","78.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:43:20 AM","72.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:43:45 AM","68.0","Normal","8"
"2.022484408E9","4/1/2016"," 8:44:00 AM","74.0","Normal","4"
"2.022484408E9","4/1/2016"," 8:44:20 AM","81.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:44:40 AM","82.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:45:15 AM","85.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:45:35 AM","85.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:45:55 AM","85.0","Normal","5"
"2.022484408E9","4/1/2016"," 8:46:20 AM","72.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:46:55 AM","71.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:47:10 AM","72.0","Normal","2"
"2.022484408E9","4/1/2016"," 8:47:25 AM","71.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:48:05 AM","71.0","Normal","1"
"2.022484408E9","4/1/2016"," 8:48:50 AM","72.0","Normal","2"
